UNITID,OPEID6,INSTNM,CONTROL,MAIN,CIPCODE,CIPDESC,CREDLEV,CREDDESC,COUNT,DEBTMEDIAN,DEBTPAYMENT10YR,DEBTMEAN,TITLEIVCOUNT,EARNINGSCOUNT,MD_EARN_WNE,IPEDSCOUNT1,IPEDSCOUNT2
100654,001002,Alabama A & M University,Public,1,0403,"City/Urban, Community and Regional Planning.",3,Bachelors Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,3,4
100654,001002,Alabama A & M University,Public,1,0403,"City/Urban, Community and Regional Planning.",5,Master's Degree,10,PrivacySuppressed,PrivacySuppressed,68542,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,10,7
100654,001002,Alabama A & M University,Public,1,0901,Communication and Media Studies.,5,Master's Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,2,8
100654,001002,Alabama A & M University,Public,1,1002,Audiovisual Communications Technologies/Technicians.,3,Bachelors Degree,29,31000,322,34379,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,15,20
100654,001002,Alabama A & M University,Public,1,1101,"Computer and Information Sciences, General.",3,Bachelors Degree,25,36250,376,37194,33,33,54300,17,16
100654,001002,Alabama A & M University,Public,1,1101,"Computer and Information Sciences, General.",5,Master's Degree,13,PrivacySuppressed,PrivacySuppressed,57871,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,11,15
100654,001002,Alabama A & M University,Public,1,1301,"Education, General.",5,Master's Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL
100654,001002,Alabama A & M University,Public,1,1301,"Education, General.",8,Graduate/Professional Certificate,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,6,2
100654,001002,Alabama A & M University,Public,1,1304,Educational Administration and Supervision.,5,Master's Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,36565,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,8,14
100654,001002,Alabama A & M University,Public,1,1310,Special Education and Teaching.,3,Bachelors Degree,18,PrivacySuppressed,PrivacySuppressed,31843,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,17,10
100654,001002,Alabama A & M University,Public,1,1310,Special Education and Teaching.,5,Master's Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,4,2
100654,001002,Alabama A & M University,Public,1,1312,"Teacher Education and Professional Development, Specific Levels and Methods.",3,Bachelors Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,45429,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,7,11
100654,001002,Alabama A & M University,Public,1,1312,"Teacher Education and Professional Development, Specific Levels and Methods.",5,Master's Degree,43,45261,527,44660,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,20,28
100654,001002,Alabama A & M University,Public,1,1313,"Teacher Education and Professional Development, Specific Subject Areas.",3,Bachelors Degree,46,31505,327,33085,32,31,25400,24,33
100654,001002,Alabama A & M University,Public,1,1313,"Teacher Education and Professional Development, Specific Subject Areas.",5,Master's Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL
100654,001002,Alabama A & M University,Public,1,1408,Civil Engineering.,3,Bachelors Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,6,6
100654,001002,Alabama A & M University,Public,1,1410,"Electrical, Electronics and Communications Engineering.",3,Bachelors Degree,22,34809,361,36482,33,31,54500,19,11
100654,001002,Alabama A & M University,Public,1,1419,Mechanical Engineering.,3,Bachelors Degree,PrivacySuppressed,36928,383,38900,24,24,45800,13,17
100654,001002,Alabama A & M University,Public,1,1499,"Engineering, Other.",5,Master's Degree,10,PrivacySuppressed,PrivacySuppressed,28759,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,8,9
100654,001002,Alabama A & M University,Public,1,1503,Electrical Engineering Technologies/Technicians.,3,Bachelors Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,5,NULL
